Customer ID,sum_text
1,"{product_cd: product_10, frequency: 1, recency: 3, T: 1}"
2,"{product_cd: product_08, frequency: 4, recency: 3, T: 2}"
3,"{product_cd: product_07, frequency: 4, recency: 1, T: 4}{product_cd: product_06, frequency: 4, recency: 3, T: 3}{product_cd: product_02, frequency: 2, recency: 3, T: 4}"
4,"{product_cd: product_08, frequency: 3, recency: 4, T: 1}{product_cd: product_08, frequency: 1, recency: 3, T: 3}{product_cd: product_06, frequency: 1, recency: 4, T: 1}"
5,"{product_cd: product_09, frequency: 4, recency: 4, T: 1}{product_cd: product_04, frequency: 3, recency: 4, T: 4}{product_cd: product_01, frequency: 2, recency: 3, T: 2}"
6,"{product_cd: product_08, frequency: 4, recency: 1, T: 1}{product_cd: product_10, frequency: 2, recency: 2, T: 3}"
7,"{product_cd: product_01, frequency: 4, recency: 1, T: 2}{product_cd: product_02, frequency: 4, recency: 1, T: 2}{product_cd: product_08, frequency: 3, recency: 3, T: 4}"
8,"{product_cd: product_08, frequency: 2, recency: 4, T: 2}{product_cd: product_07, frequency: 2, recency: 2, T: 1}"
9,"{product_cd: product_07, frequency: 3, recency: 3, T: 1}{product_cd: product_05, frequency: 3, recency: 4, T: 2}"
10,"{product_cd: product_09, frequency: 4, recency: 3, T: 3}{product_cd: product_09, frequency: 4, recency: 4, T: 3}"
11,"{product_cd: product_04, frequency: 4, recency: 2, T: 4}"
12,"{product_cd: product_06, frequency: 4, recency: 4, T: 4}"
13,"{product_cd: product_03, frequency: 4, recency: 1, T: 2}{product_cd: product_09, frequency: 3, recency: 1, T: 4}{product_cd: product_02, frequency: 4, recency: 1, T: 2}"
14,"{product_cd: product_03, frequency: 1, recency: 4, T: 3}{product_cd: product_06, frequency: 4, recency: 1, T: 3}"
15,"{product_cd: product_09, frequency: 4, recency: 3, T: 4}{product_cd: product_09, frequency: 1, recency: 1, T: 2}{product_cd: product_05, frequency: 2, recency: 1, T: 4}"
16,"{product_cd: product_02, frequency: 4, recency: 2, T: 3}"
17,"{product_cd: product_01, frequency: 3, recency: 1, T: 3}"
18,"{product_cd: product_06, frequency: 4, recency: 2, T: 2}{product_cd: product_09, frequency: 4, recency: 2, T: 2}"
19,"{product_cd: product_02, frequency: 4, recency: 2, T: 4}"
20,"{product_cd: product_03, frequency: 2, recency: 4, T: 3}{product_cd: product_08, frequency: 3, recency: 1, T: 4}{product_cd: product_05, frequency: 2, recency: 1, T: 4}"
21,"{product_cd: product_10, frequency: 3, recency: 4, T: 3}{product_cd: product_08, frequency: 3, recency: 2, T: 4}"
22,"{product_cd: product_02, frequency: 2, recency: 4, T: 3}{product_cd: product_10, frequency: 3, recency: 3, T: 1}"
23,"{product_cd: product_07, frequency: 3, recency: 1, T: 1}{product_cd: product_10, frequency: 4, recency: 3, T: 2}{product_cd: product_10, frequency: 3, recency: 2, T: 2}"
24,"{product_cd: product_05, frequency: 2, recency: 1, T: 1}{product_cd: product_05, frequency: 4, recency: 1, T: 3}{product_cd: product_03, frequency: 1, recency: 3, T: 3}"
25,"{product_cd: product_07, frequency: 2, recency: 2, T: 2}{product_cd: product_09, frequency: 3, recency: 3, T: 2}{product_cd: product_05, frequency: 4, recency: 3, T: 3}"
26,"{product_cd: product_08, frequency: 1, recency: 2, T: 2}"
27,"{product_cd: product_07, frequency: 3, recency: 1, T: 4}{product_cd: product_01, frequency: 3, recency: 1, T: 4}{product_cd: product_06, frequency: 3, recency: 4, T: 3}"
28,"{product_cd: product_04, frequency: 4, recency: 1, T: 3}"
29,"{product_cd: product_04, frequency: 1, recency: 4, T: 3}{product_cd: product_07, frequency: 1, recency: 2, T: 1}{product_cd: product_01, frequency: 3, recency: 4, T: 1}"
30,"{product_cd: product_04, frequency: 2, recency: 4, T: 4}"
